ticker,date,open,high,low,close,volume
IBM,2022-08-18,137.79,139.12,137.75,139.07,3177726
IBM,2022-08-17,136.46,138.415,136.3,137.79,3667568
IBM,2022-08-16,134.6,137.37,134.4517,136.56,4313600
IBM,2022-08-15,132.96,135.19,132.24,134.93,2791241
IBM,2022-08-12,132.62,134.09,131.98,134.01,2767054
IBM,2022-08-11,132.36,133.225,132.0,132.54,3501925
IBM,2022-08-10,130.75,131.78,130.34,131.5,3663995
IBM,2022-08-09,129.92,130.79,129.12,129.47,3495991
IBM,2022-08-08,133.1,133.35,132.02,132.61,3825145
IBM,2022-08-05,131.25,132.67,131.07,132.48,2586519
IBM,2022-08-04,132.15,132.2866,131.02,131.64,3179789
IBM,2022-08-03,131.82,132.862,131.32,132.34,3088532
IBM,2022-08-02,132.2,132.78,130.51,131.81,4403633
IBM,2022-08-01,130.75,132.7,130.7,132.04,4142099
IBM,2022-07-29,129.52,131.0,129.31,130.79,5786815
IBM,2022-07-28,128.75,129.81,128.606,129.22,3913680
IBM,2022-07-27,127.97,129.43,127.58,129.12,4175625
IBM,2022-07-26,128.26,129.3,127.63,128.08,3645313
IBM,2022-07-25,128.44,129.1257,127.9,128.54,4702352
IBM,2022-07-22,127.03,128.32,125.71,128.25,6467205
IBM,2022-07-21,128.75,128.81,125.13,127.15,11975361
IBM,2022-07-20,130.7,130.72,128.06,129.18,9882016
IBM,2022-07-19,131.58,132.56,127.72,130.88,29690535
IBM,2022-07-18,140.15,140.31,137.7844,138.13,8231694
IBM,2022-07-15,140.68,140.68,138.61,139.92,4519320
IBM,2022-07-14,135.6,139.43,135.02,139.06,5298351
IBM,2022-07-13,137.18,138.9,136.8,137.18,4123213
IBM,2022-07-12,140.84,141.55,138.565,139.18,3235571
IBM,2022-07-11,140.62,141.87,140.13,141.0,3912773
IBM,2022-07-08,140.76,141.3203,139.82,140.47,2820928
IBM,2022-07-07,138.91,141.325,138.83,140.83,3897077
IBM,2022-07-06,138.0,139.14,137.13,138.08,3237059
IBM,2022-07-05,139.97,139.97,135.27,137.62,6274067
IBM,2022-07-01,141.0,141.67,139.26,141.12,4012106
IBM,2022-06-30,139.58,142.46,139.28,141.19,4878020
IBM,2022-06-29,142.74,143.5213,139.5,140.71,4161491
IBM,2022-06-28,142.92,144.155,141.32,141.86,4065202
IBM,2022-06-27,142.26,143.83,141.95,142.8,3935968
IBM,2022-06-24,139.2,142.37,139.13,142.06,11493012
IBM,2022-06-23,137.14,138.62,136.5,138.44,4547925
IBM,2022-06-22,136.1,138.18,136.03,137.08,3791635
IBM,2022-06-21,135.9,138.5,135.9,137.85,4089272
IBM,2022-06-17,135.99,136.98,132.85,135.02,12968509
IBM,2022-06-16,135.3,136.24,134.39,135.67,5386396
IBM,2022-06-15,136.01,138.45,135.58,137.06,4606887
IBM,2022-06-14,135.0,136.9501,134.86,135.72,4607785
IBM,2022-06-13,133.97,137.57,133.76,135.11,6486044
IBM,2022-06-10,137.8,137.8,135.25,136.19,4661716
IBM,2022-06-09,140.15,141.04,137.93,137.96,3592551
IBM,2022-06-08,142.07,142.8,140.15,140.83,3005666
IBM,2022-06-07,142.6,142.98,140.96,142.78,2887051
IBM,2022-06-06,142.98,144.73,142.0,142.88,4767100
IBM,2022-06-03,140.26,142.5794,139.74,141.18,4352213
IBM,2022-06-02,139.45,140.29,136.85,140.15,3734812
IBM,2022-06-01,139.67,140.4699,138.52,139.43,3796488
IBM,2022-05-31,138.2,139.83,136.81,138.84,7978053
IBM,2022-05-27,137.39,139.7394,137.24,139.27,4608215
IBM,2022-05-26,135.0,137.55,134.52,136.89,3929338
IBM,2022-05-25,132.86,134.82,132.86,134.39,3299303
IBM,2022-05-24,130.57,134.37,130.42,133.8,4189723
IBM,2022-05-23,129.5,131.95,129.42,131.17,3591511
IBM,2022-05-20,130.18,130.37,125.8,128.48,6914458
IBM,2022-05-19,132.0,132.32,128.71,129.66,5819664
IBM,2022-05-18,137.1,137.615,132.17,132.94,6003015
IBM,2022-05-17,137.19,138.37,135.64,138.37,4372909
IBM,2022-05-16,133.1,136.51,132.41,135.03,4250395
IBM,2022-05-13,133.0,133.8,131.05,133.6,4195218
IBM,2022-05-12,131.27,133.62,130.41,132.9,5384809
IBM,2022-05-11,129.86,132.96,129.86,130.75,5301131
IBM,2022-05-10,135.0,135.41,128.43,129.13,8642398
IBM,2022-05-09,134.41,136.345,133.315,134.44,7647933
IBM,2022-05-06,135.47,137.99,135.47,137.67,7306396
IBM,2022-05-05,136.46,137.26,134.76,135.92,5957434
IBM,2022-05-04,132.87,137.87,132.14,137.4,5913705
IBM,2022-05-03,133.0,133.6,131.99,132.52,3688574
IBM,2022-05-02,133.0,133.77,130.89,133.04,4213477
IBM,2022-04-29,135.13,135.5545,132.0,132.21,5078660
IBM,2022-04-28,136.85,136.99,134.81,135.74,4477068
IBM,2022-04-27,135.78,137.12,134.63,135.06,4369052
IBM,2022-04-26,139.0,139.87,136.17,136.19,4887395
IBM,2022-04-25,137.59,139.65,135.19,139.1,5748289
IBM,2022-04-22,139.7,140.4399,137.35,138.25,6508599
IBM,2022-04-21,138.23,141.88,137.35,139.85,9922349
IBM,2022-04-20,135.0,139.56,133.38,138.32,17770306
IBM,2022-04-19,126.08,129.4,126.0,129.15,7971361
IBM,2022-04-18,126.6,127.3899,125.53,126.17,4884150
IBM,2022-04-14,128.93,130.58,126.38,126.56,6384180
IBM,2022-04-13,125.64,126.67,124.91,126.14,3064918
IBM,2022-04-12,126.42,127.34,125.5835,125.98,2690998
IBM,2022-04-11,127.95,128.175,126.18,126.37,3202545
IBM,2022-04-08,128.01,128.78,127.27,127.73,3143309
IBM,2022-04-07,128.87,129.2499,126.73,128.55,3538317
IBM,2022-04-06,127.78,129.515,127.25,129.39,3958057
IBM,2022-04-05,129.85,131.23,128.66,128.89,3102238
IBM,2022-04-04,130.26,130.45,128.93,130.27,2811100
